id,module_id,year,label,description,response_rate,women_sample_size,men_sample_size,created_at,updated_at
f553092d-000f-48eb-802b-7c6f6e6b3989,ndhs,2024,2023-24 NDHS,"The 2023-24 NDHS provides up-to-date estimates on fertility, marriage, maternal/child health, and nutrition. Implemented by NPC.",98.50,41821,14235,2025-11-27 13:17:23.444477,2025-11-27 13:40:45.08277
c2e2c6f3-c936-4c93-9816-6115c3c6cb8c,ndhs,2018,2018 NDHS,Historical data from the 2018 survey for comparative analysis.,99.00,41821,13311,2025-11-27 13:17:23.444477,2025-12-07 16:39:54.869744
384f1a1c-73df-45bd-86fc-e732b4a9ffec,nmis,2015,2015 NMIS,Nigeria Malaria Indicator Survey 2015,,,,2025-12-19 21:50:33.618864,2025-12-21 12:07:49.418166
3c116859-57da-4bb0-90d1-1c590b372bc6,nmis,2021,NMIS 2021,Nigeria Malaria Indicator Survey 2021,0.00,0,0,2025-12-21 12:07:49.418166,2025-12-21 13:40:11.693836
33a6af69-de75-4c5d-a97b-053f6c1194f9,neds,2020,NEDS 2020,The 2020 Nigeria Education Data Survey (NEDS) for the Evaluation of Better Education Service Delivery for All (BESDA) Operation is designed to provide information on education for children age 4-16 years.,99.00,38229,116912,2025-12-20 12:27:30.362839,2025-12-20 14:11:09.07771
c7e9ec7c-0769-4f02-b597-97bdd2f96b1e,naiis,2018,NAIIS 2018,"The 2018 Nigeria AIDS Indicator and Impact Survey (NAIIS) is a nationally representative household-based survey that provides comprehensive data on HIV prevalence, incidence, and related indicators across Nigeria. The survey tested 95,743 adults aged 15-64 years.",95.00,57446,38297,2025-12-20 16:42:18.216712,2025-12-20 17:05:44.328103
